IX baseinas Metalistø g. 1965 m,1689,161,39.677.94,39.677.94,,1.00,vnt,
XIV baseinas Dubijos g. 1480 m,1715,162,48.366.54,48.366.54,,1.00,vnt,
XIV baseinas Serbentø g. 4375 m,1759,163,2.248.899.44,2.248.899.44,,1.00,vnt,
XIV baseinas Agrastø g. 26 m,2133,164,868.86,868.86,,1.00,vnt,
XXI baseinas Bubiø g. 180 m,2136,165,5.213.16,5.213.16,,1.00,vnt,
XXI baseinas Kurtuvënø g. 346 m,2146,166,36.492.12,36.492.12,,1.00,vnt,
XXI baseinas Kelmës g. 291 m,2147,167,11.295.18,11.295.18,,1.00,vnt,
XXI baseinas Aukðtabalio g. 1882 m.,2150,168,4.344.30,4.344.30,,1.00,vnt,
XXVII baseinas Aukðtoji g. 366 m,2151,169,23.459.22,23.459.22,,1.00,vnt,
XXVII baseinas Putinø g. 571 m,2153,170,26.934.66,26.934.66,,1.00,vnt,
XXVII baseinas Þemoji g. 466 m,2154,171,24.328.08,24.328.08,,1.00,vnt,
XXVII baseinas Vasario 16osios g. 538 m,2155,172,10.426.32,10.426.32,,1.00,vnt,
XXVII baseinas Eþero g. aikðtë prie Ðaulio, 450 m,2156,173,4.344.30,4.344.30,,1.00,vnt,
XXVII baseinas Talðos g. 127 m,2157,174,1.737.72,1.737.72,,1.00,vnt,
XXVII baseinas Draugystës pr. 839 m,2158,175,21.431.88,21.431.88,,1.00,vnt,
XXVII baseinas Eþero g. 2276 m,2159,176,62.268.30,62.268.30,,1.00,vnt,
XXVII Kaðtonø alëja, 112 m,2160,177,1.737.72,1.737.72,,1.00,vnt,
XXVII baseinas Auðros alëja, 901 m,2161,178,16.508.34,16.508.34,,1.00,vnt,
XXVII baseinas Trakø g. 91 m,2162,179,868.86,868.86,,1.00,vnt,
XXVII baseinas Gluosniø g. 227 m,2164,180,10.136.70,10.136.70,,1.00,vnt,
XXVII baseinas Rûdës g. 1097 m,2165,181,44.891.10,44.891.10,,1.00,vnt,
XXVII baseinas Þalgirio g. 377 m,2166,182,6.082.02,6.082.02,,1.00,vnt,
XXVII baseinas Auðros takas, 124 m,2167,183,868.86,868.86,,1.00,vnt,

